Timestamp,"By clicking ""I agree"" below, you confirm that you have read and understood the above terms and voluntarily consent to participate in this survey.",Age,Gender,Current Occupation,Monthly income salary or allowance,How often do you shop for groceries in a month?,How much do you spend on groceries every month?,What grocery stores do you usually buy your necessities from? (Select all that apply),What primary factors do you find important in a  grocery store? (Select all that apply),What payment methods do you use in paying for groceries? (Select all that apply),Among the following when do you usually take a trip to the grocery store?,What would be the duration that you typically spend in a grocery store?,Which among the following products and goods do you usually buy? (Select all that apply),Which section of a grocery store do you spend the most time during a typical visit? (Select all that apply),Which section of a grocery store do you spend the least time during a typical visit? (Select all that apply),Which products do you usually forget when you go grocery shopping? (Select all that apply),Should there be a designated area for sampling new products in the store?,Should there be a designated area for products that have discounts and promotions?,Where should checkout counters be placed at?,Would you like express checkout lanes for customers with limited number of items?,Do you use baggage counters at the groceries you go at to leave your baggage?,"Based from the choices below, select a layout that you most prefer.","Additional comments, suggestions, or other experiences related to how a grocery store should be planned and laid out. (Optional)"
4/9/2024 18:36:29,I agree,18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000",Victoria Supermarket,"Price: Finding good deals and discounts, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Dairy: Milk, cheese, yogurt, and eggs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items",Toiletries,"No, integrate sampling throughout the store","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,N/A
4/9/2024 19:57:50,I agree,18-24,Male,Student,"Below ₱10,957",Three times a week,"Less than ₱5,000","Robinsons Supermarket, Palengke, CSI","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment",Cash,Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages","Milk, Tea, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/9/2024 20:56:39,I agree,18-24,Male,Student,"Below ₱10,957",Twice a week,"₱5,000 - ₱10,000","Robinsons Supermarket, SaveMore, SM Supermarket","Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Product Quality: Fresh and high-quality items","Cash, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages","Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items",Tea,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location.",Layout C,
4/9/2024 21:20:54,I agree,18-24,Female,Student,"Below ₱10,957",Twice a week,"₱5,000 - ₱10,000","Robinsons Supermarket, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items","Cash, Credit Card",Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Household Supplies: Cleaning products, toiletries, and paper goods","Dairy: Milk, cheese, yogurt, and eggs","Batteries, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/10/2024 0:06:45,I agree,18-24,Female,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","SM Supermarket, Tiongsan Supermarket","Price: Finding good deals and discounts, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Product Quality: Fresh and high-quality items",Cash,Afternoon (12:00 PM - 4:00 PM),I don't keep track of time,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks","Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items",Toiletries,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
4/10/2024 9:29:41,I agree,18-24,Male,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","Robinsons Supermarket, SaveMore, Puregold, SM Supermarket, ","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Cheese, Butter, Coffee, Tea, Spices, Snacks, Condiments","No, integrate sampling throughout the store","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/10/2024 10:13:16,I agree,18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, SM Supermarket, Tiongsan Supermarket, Local Market","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items",Cash,Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces","Bakery: Bread, pastries, and baked goods, Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Cheese, Butter, Coffee, Tea, Spices, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout A,
4/10/2024 10:13:30,I agree,25-34,Male,Employed (full-time),"₱10,957 to ₱21,914",Once a week,"Less than ₱5,000",Puregold,"Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Beverages: Soft drinks, juices, water, and alcoholic beverages","Spices, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout B,
4/10/2024 10:15:15,I agree,18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Victoria Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Store Atmosphere: Pleasant shopping environment",Cash,Evening (4:00 PM - 8:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats","Eggs, Spices, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","No, I prefer to keep my baggage with me at all times.",Layout B,
4/10/2024 10:17:25,I agree,18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000",SM Supermarket,"Convenience: Easy access to essential items, Price: Finding good deals and discounts","Cash, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Late Morning (10:00 AM - 12:00 PM),15-30 minutes,"Fresh Produce: Fruits, vegetables, and fresh herbs, Dairy: Milk, cheese, yogurt, and eggs, Snacks: Chips, cookies, nuts, and snacks","Snacks: Chips, cookies, nuts, and snacks","Deli/Meat: Cold cuts, cheeses, and meats","Cheese, Butter","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage.",Layout C,
